0implicitworlds.tabbyflux-name|Неявные миры
implicitworlds.tabbyflux-description|[ДАННЫЕ ВРЕМЕННО НЕДОСТУПНЫ]
Stellar Highways|Звёздные магистрали
Narrow Horizon|Узкий горизонт
Inactive Bridge|Бездействующий мост
Farthest Future|Предалёкое будущее
Overgrown Cascade|Заросший каскад
Encapsulated Systems|Инкапсулированные системы
Encapsulated Systems (Metaservers)|Инкапсулированные системы (метасерверы)
Integral Field|Интегральное поле
Integral Field (Transmitting Bridge)|Интегральное поле (передающий мост)

the fallen simulation|павшая симуляция
eternal quiet hum of computing|вечный тихий гул вычислений
most powerful mainframes with unknown purpose|мощнейшие мэйнфреймы неизвестного назначения
